time(sec),X(m),Y(m),VX(m/s),VY(m/s),AX(m/s^2),AY(m/s^2),Xm(m),Ym(m),Vm(m),Hdgm(rad),u_rudder,u_throttle,P_11,P_12,P_13,P_14,P_15,P_16,P_21,P_22,P_23,P_24,P_25,P_26,P_31,P_32,P_33,P_34,P_35,P_36,P_41,P_42,P_43,P_44,P_45,P_46,P_51,P_52,P_53,P_54,P_55,P_56,P_61,P_62,P_63,P_64,P_65,P_66
152.000000,-22.522628,-18.401005,-5.437308,0.000000,-1.749639,0.000000,-22.297165,-18.401005,1.587920,3.288203,-0.304727,0.554735,0.396793,0.000000,0.490766,0.000000,0.270791,0.000000,0.000000,0.396793,0.000000,0.490766,0.000000,0.270791,0.490766,0.000000,0.978431,0.000000,0.738076,0.000000,0.000000,0.490766,0.000000,0.978431,0.000000,0.738076,0.270791,0.000000,0.738076,0.000000,0.791927,0.000000,0.000000,0.270791,0.000000,0.738076,0.000000,0.791927
152.200000,-23.670999,-18.401005,-5.818694,0.000000,-1.766986,0.000000,-23.710914,-18.401005,1.614380,3.242825,-0.304727,0.554735,0.393680,0.000000,0.477849,0.000000,0.263494,0.000000,0.000000,0.393680,0.000000,0.477849,0.000000,0.263494,0.477849,0.000000,0.929407,0.000000,0.693798,0.000000,0.000000,0.477849,0.000000,0.929407,0.000000,0.693798,0.263494,0.000000,0.693798,0.000000,0.727418,0.000000,0.000000,0.263494,0.000000,0.693798,0.000000,0.727418
152.400000,-24.830477,-18.401005,-6.124882,0.000000,-1.741109,0.000000,-24.768443,-18.401005,1.640850,3.192210,-0.351604,0.554735,0.389641,0.000000,0.464493,0.000000,0.254602,0.000000,0.000000,0.389641,0.000000,0.464493,0.000000,0.254602,0.464493,0.000000,0.883203,0.000000,0.650526,0.000000,0.000000,0.464493,0.000000,0.883203,0.000000,0.650526,0.254602,0.000000,0.650526,0.000000,0.671214,0.000000,0.000000,0.254602,0.000000,0.650526,0.000000,0.671214
152.600000,-25.855565,-18.401005,-6.198155,0.000000,-1.591812,0.000000,-25.480884,-18.401005,1.640850,3.138106,-0.390667,0.554735,0.385155,0.000000,0.451185,0.000000,0.244994,0.000000,0.000000,0.385155,0.000000,0.451185,0.000000,0.244994,0.451185,0.000000,0.839839,0.000000,0.609987,0.000000,0.000000,0.451185,0.000000,0.839839,0.000000,0.609987,0.244994,0.000000,0.609987,0.000000,0.623593,0.000000,0.000000,0.244994,0.000000,0.609987,0.000000,0.623593
152.800000,-26.636239,-18.401005,-5.951293,0.000000,-1.288303,0.000000,-25.837104,-18.401005,1.640850,3.082254,-0.390667,0.554735,0.380481,0.000000,0.438183,0.000000,0.235291,0.000000,0.000000,0.380481,0.000000,0.438183,0.000000,0.235291,0.438183,0.000000,0.799520,0.000000,0.573285,0.000000,0.000000,0.438183,0.000000,0.799520,0.000000,0.573285,0.235291,0.000000,0.573285,0.000000,0.584230,0.000000,0.000000,0.235291,0.000000,0.573285,0.000000,0.584230
153.000000,-27.492415,-17.869762,-5.801309,0.601806,-1.071927,0.319437,-26.894633,-16.987256,1.693780,3.026402,-0.437544,0.554735,0.375769,0.000000,0.425681,0.000000,0.225950,0.000000,0.000000,0.375769,0.000000,0.425681,0.000000,0.225950,0.425681,0.000000,0.762585,0.000000,0.541049,0.000000,0.000000,0.425681,0.000000,0.762585,0.000000,0.541049,0.225950,0.000000,0.541049,0.000000,0.552444,0.000000,0.000000,0.225950,0.000000,0.541049,0.000000,0.552444
153.200000,-28.410313,-17.987208,-5.721506,0.393370,-0.917463,0.176453,-27.963294,-18.401005,1.720240,2.977534,-0.437544,0.554735,0.371123,0.000000,0.413871,0.000000,0.217304,0.000000,0.000000,0.371123,0.000000,0.413871,0.000000,0.217304,0.413871,0.000000,0.729396,0.000000,0.513528,0.000000,0.000000,0.413871,0.000000,0.729396,0.000000,0.513528,0.217304,0.000000,0.513528,0.000000,0.527356,0.000000,0.000000,0.217304,0.000000,0.513528,0.000000,0.527356
153.400000,-29.109327,-18.086855,-5.395452,0.228804,-0.652438,0.072504,-28.308382,-18.401005,1.746710,2.918193,-0.453169,0.195349,0.366633,0.000000,0.402937,0.000000,0.209575,0.000000,0.000000,0.366633,0.000000,0.402937,0.000000,0.209575,0.402937,0.000000,0.700227,0.000000,0.490671,0.000000,0.000000,0.402937,0.000000,0.700227,0.000000,0.490671,0.209575,0.000000,0.490671,0.000000,0.508010,0.000000,0.000000,0.209575,0.000000,0.490671,0.000000,0.508010
153.600000,-29.773625,-18.170594,-5.061898,0.101275,-0.412895,-0.000813,-29.020823,-18.401005,1.773170,2.860594,-0.835994,0.000000,0.362380,0.000000,0.393041,0.000000,0.202892,0.000000,0.000000,0.362380,0.000000,0.393041,0.000000,0.202892,0.393041,0.000000,0.675204,0.000000,0.472207,0.000000,0.000000,0.393041,0.000000,0.675204,0.000000,0.472207,0.202892,0.000000,0.472207,0.000000,0.493449,0.000000,0.000000,0.202892,0.000000,0.472207,0.000000,0.493449
153.800000,-30.537652,-17.733455,-4.869348,0.548098,-0.271643,0.228670,-30.078352,-16.987256,1.773170,2.806489,-0.859432,0.000000,0.358440,0.000000,0.384306,0.000000,0.197303,0.000000,0.000000,0.358440,0.000000,0.384306,0.000000,0.197303,0.384306,0.000000,0.654286,0.000000,0.457709,0.000000,0.000000,0.384306,0.000000,0.654286,0.000000,0.457709,0.197303,0.000000,0.457709,0.000000,0.482771,0.000000,0.000000,0.197303,0.000000,0.457709,0.000000,0.482771
